Category,Title,Price,Stock,URL
Laptops,39681-LENOVO LOQ 15ARP10E Ryzen 7-7735HS | 16GB DDR5 | 512GB NVMe | RTX 4050 6GB | 15.6” FHD | WIN11 | LUNA GREY,"Rs. 399,000",In Stock,https://www.chamacomputers.lk/products/laptops/lenovo%20loq%2015arp10e%20ryzen%207-7735hs%20%7C%2016gb%20ddr5%20%7C%20512gb%20nvme%20%7C%20rtx%204050%206gb%20%7C%2015.6%E2%80%9D%20fhd%20%7C%20win11%20%7C%20luna%20grey
Laptops,"39949-MSI Modern 15 F1MG | Core 7 150U 14th Gen | 16GB DDR4 | 512GB NVMe | 15.6"" | DOS | Platinum Gray","Rs. 315,000",In Stock,https://www.chamacomputers.lk/products/laptops/msi%20modern%2015%20f1mg%20%7C%20core%207%20150u%2014th%20gen%20%7C%2016gb%20ddr4%20%7C%20512gb%20nvme%20%7C%2015.6%22%20%7C%20dos%20%7C%20platinum%20gray
Laptops,"40517-ASUS TUF FA506HCQ-HN038 | RYZEN 7 170 | 8GB DDR5 | 512GB NVMe | RTX 3050 4GB | 15.6"" FHD IPS 144HZ | DOS | Graphite Black","Rs. 347,000",In Stock,https://www.chamacomputers.lk/products/laptops/asus%20tuf%20fa506hcq-hn038%20%7C%20ryzen%207%20170%20%7C%208gb%20ddr5%20%7C%20512gb%20nvme%20%7C%20rtx%203050%204gb%20%7C%2015.6%22%20fhd%20ips%20144hz%20%7C%20dos%20%7C%20graphite%20black
Laptops,40683-HP 250R G10 | Core 3 100U | 8GB DDR4 | 512GB NVMe | 15.6” FHD IPS | Dos | Black,"Rs. 187,500",In Stock,https://www.chamacomputers.lk/products/laptops/hp%20250r%20g10%20%7C%20core%203%20100u%20%7C%208gb%20ddr4%20%7C%20512gb%20nvme%20%7C%2015.6%E2%80%9D%20fhd%20ips%20%7C%20dos%20%7C%20black
Laptops,"40739-HP 840 G6 | i7 8th Gen | 8GB DDR4 | 256GB SSD | 14"" Display | Laptop (Used)","Rs. 110,500",In Stock,https://www.chamacomputers.lk/products/laptops/hp%20840%20g6%20%7C%20i7%208th%20gen%20%7C%208gb%20ddr4%20%7C%20256gb%20ssd%20%7C%2014%22%20display%20%7C%20laptop%20(used)
Laptops,"21142-HP Victus 15-FA2013DX | i5-13420H | 8GB DDR4 | 512GB NVMe | RTX 3050 6GB | 15.6"" FHD 144HZ | Win 11","Rs. 299,000",In Stock,https://www.chamacomputers.lk/products/laptops/hp%20victus%2015-fa2013dx%20%7C%20i5-13420h%20%7C%208gb%20ddr4%20%7C%20512gb%20nvme%20%7C%20rtx%203050%206gb%20%7C%2015.6%22%20fhd%20144hz%20%7C%20win%2011
Laptops,21197-Lenovo Idea pad Gaming Backpack,"Rs. 3,500",In Stock,https://www.chamacomputers.lk/products/laptops/lenovo%20idea%20pad%20gaming%20backpack
Laptops,21199-Lenovo IdeaPad Slim 3 15IRH10 | i5-13420H | 8GB DDR5 | 512GB NVMe | 15.3'' WUXGA | UHD Graphics | DOS | Luna Grey,"Rs. 244,000",In Stock,https://www.chamacomputers.lk/products/laptops/lenovo%20ideapad%20slim%203%2015irh10%20%7C%20i5-13420h%20%7C%208gb%20ddr5%20%7C%20512gb%20nvme%20%7C%2015.3''%20wuxga%20%7C%20uhd%20graphics%20%7C%20dos%20%7C%20luna%20grey
Laptops,"21235-MacBook Pro i5 16GB | 256GB | 13"" | Touch Bar | 2019 macOs (Used)","Rs. 170,000",In Stock,https://www.chamacomputers.lk/products/laptops/macbook%20pro%20i5%2016gb%20%7C%20256gb%20%7C%2013%22%20%7C%20touch%20bar%20%7C%202019%20macos%20(used)
Laptops,"21236-MacBook Pro i5 8GB | 256GB | 13"" | Touch Bar | 2019 macOs (Used)","Rs. 160,000",In Stock,https://www.chamacomputers.lk/products/laptops/macbook%20pro%20i5%208gb%20%7C%20256gb%20%7C%2013%22%20%7C%20touch%20bar%20%7C%202019%20macos%20(used)
Laptops,"21237-MacBook Pro i7 16GB | 512GB | 13"" | Touch Bar | 2019 macOs (Used)","Rs. 195,000",In Stock,https://www.chamacomputers.lk/products/laptops/macbook%20pro%20i7%2016gb%20%7C%20512gb%20%7C%2013%22%20%7C%20touch%20bar%20%7C%202019%20macos%20(used)
Laptops,32475-Asus Tuf Gaming BackPack,"Rs. 5,750",In Stock,https://www.chamacomputers.lk/products/laptops/asus%20tuf%20gaming%20backpack
Laptops,"32812-Asus Vivobook E1504FA-BQ2909 | AMD Ryzen 5 40 | 8GB DDR5 | 512GB NVMe | Radeon Graphics | 15.6"" | DOS | Mix Black","Rs. 205,000",In Stock,https://www.chamacomputers.lk/products/laptops/asus%20vivobook%20e1504fa-bq2909%20%7C%20amd%20ryzen%205%2040%20%7C%208gb%20ddr5%20%7C%20512gb%20nvme%20%7C%20radeon%20graphics%20%7C%2015.6%22%20%7C%20dos%20%7C%20mix%20black
