Source_Store,Category,Title,Price,Stock,URL
Nanotek,Apple,ACASIS MAC MINI M4 DOCK & STAND - NVME SSD ENCLOSURE - M003,"24,500 LKR",In Stock,https://www.nanotek.lk/product/acasis-mac-mini-m4-dock-stand-nvme-ssd-enclosure-m003
Nanotek,Mobile Phones Tablets,OnePlus Nord CE5,"129,500 LKR",In Stock,https://www.nanotek.lk/product/oneplus-nord-ce5
Nanotek,Mobile Phones Tablets,Honor X9D 5G,"135,000 LKR149,000 LKR",Out of Stock,https://www.nanotek.lk/product/honor-x9d-5g
Nanotek,Mobile Phones Tablets,ONEPLUS NORD 5,"199,000 LKR",Out of Stock,https://www.nanotek.lk/product/oneplus-nord-5
Nanotek,Mobile Phones Tablets,OSCAL PAD 90,"52,500 LKR",Out of Stock,https://www.nanotek.lk/product/oscal-pad-90
Nanotek,Mobile Phones Tablets,OSCAL PAD 9,"47,500 LKR",Out of Stock,https://www.nanotek.lk/product/oscal-pad-9
Nanotek,All In One Nuc Systems,Chuwi AuBox X Intel Core Ultra 5 226V,"215,000 LKR",Out of Stock,https://www.nanotek.lk/product/chuwi-aubox-x-intel-core-ultra-5-226v
Nanotek,All In One Nuc Systems,Chuwi LarkBox X  i3 12th gen,"140,000 LKR",In Stock,https://www.nanotek.lk/product/chuwi-larkbox-x-i3-12th-gen
Nanotek,All In One Nuc Systems,Lenovo IdeaCentre AIO (All In One) 24ARR9 Ryzen 7,"365,000 LKR",In Stock,https://www.nanotek.lk/product/lenovo-ideacentre-aio-all-in-one-24arr9-ryzen-7
Nanotek,All In One Nuc Systems,Lenovo IdeaCentre AIO (All In One) 24ARR9 Ryzen 5,"320,000 LKR",In Stock,https://www.nanotek.lk/product/lenovo-ideacentre-aio-all-in-one-24arr9-ryzen-5
Nanotek,All In One Nuc Systems,Lenovo A105 AIO (All In One) Ryzen 5,"285,000 LKR",In Stock,https://www.nanotek.lk/product/lenovo-a105-aio-all-in-one-ryzen-5
Nanotek,Desktop Workstations,Nano-X Photographer,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-photographer
Nanotek,Desktop Workstations,Nano-X Director Lite,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-director-lite
Nanotek,Desktop Workstations,Nano-X Director PRO V1,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-director-pro-v1
Nanotek,Desktop Workstations,NANO-X CREATOR V1 -Video Editing,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-creator-v1-video-editing
Nanotek,Desktop Workstations,NANO-X CREATOR V2 -Video Editing,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-creator-v2-video-editing
Nanotek,Desktop Workstations,Nano-X Creator PRO V1 - 3D Modelling,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-creator-pro-v1-3d-modelling
Nanotek,Desktop Workstations,Nano-X Creator PRO V2 - 3D Modelling,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-creator-pro-v2-3d-modelling
Nanotek,Desktop Workstations,Nano-X Creator Ultimate - 3D Modelling,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-creator-ultimate-3d-modelling
Nanotek,Desktop Workstations,Nano-X Creator Intel Pro  - 3D Modelling,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-creator-intel-pro-3d-modelling
Nanotek,Desktop Workstations,Nano-X Creator AMD Pro  - 3D Modelling,N/A,Contact for Pricing 0770322381,https://www.nanotek.lk/product/nano-x-creator-amd-pro-3d-modelling
Nanotek,Console Handheld Gaming,PLAYSTATION 5 SLIM DIGITAL EDITION CONSOLE,"229,000 LKR",Out of Stock,https://www.nanotek.lk/product/playstation-5-slim-digital-edition-console
Nanotek,Console Handheld Gaming,PLAYSTATION 5 PRO CONSOLE,"415,000 LKR",In Stock,https://www.nanotek.lk/product/playstation-5-pro-console
Nanotek,Console Handheld Gaming,PLAYSTATION 5 SLIM 1TB DISK EDITION CONSOLE,"269,000 LKR",In Stock,https://www.nanotek.lk/product/playstation-5-slim-1tb-disk-edition-console
Nanotek,Console Handheld Gaming,PLAYSTATION 5 DUALSENSE WIRELESS CONTROLLER,"28,500 LKR",In Stock,https://www.nanotek.lk/product/playstation-5-dualsense-wireless-controller-1
Nanotek,Console Handheld Gaming,XBOX WIRELESS CONTROLLER,"24,000 LKR",In Stock,https://www.nanotek.lk/product/xbox-wireless-controller
Nanotek,Console Handheld Gaming,Porodo Gaming PS5 Slim Cooling Station + Controller Charging & Headphone Stand,"14,500 LKR",Out of Stock,https://www.nanotek.lk/product/porodo-gaming-ps5-slim-cooling-station-controller-charging-headphone-stand
Nanotek,Console Handheld Gaming,NINTENDO SWITCH OLED MODEL - NEON,"105,000 LKR",Out of Stock,https://www.nanotek.lk/product/nintendo-switch-oled-model-neon
Nanotek,Console Handheld Gaming,Playstation 5 DualSense EDGE,"65,500 LKR",Out of Stock,https://www.nanotek.lk/product/playstation-5-dualsense-edge
Nanotek,Console Handheld Gaming,GREEN LION GL-GC8 GP PRO+ HANDHELD GAMING,"21,500 LKR",Out of Stock,https://www.nanotek.lk/product/green-lion-gl-gc8-gp-pro-handheld-gaming
Nanotek,Console Handheld Gaming,XBOX Wireless Headset,"38,500 LKR42,500 LKR",Out of Stock,https://www.nanotek.lk/product/xbox-wireless-headset-1
Nanotek,Console Handheld Gaming,Lenovo Legion Go 8APU1 Ryzen Z1 AMD Ryzen Z1 Extreme,"349,000 LKR",Out of Stock,https://www.nanotek.lk/product/lenovo-legion-go-8apu1-ryzen-z1-amd-ryzen-z1-extreme
Nanotek,Console Handheld Gaming,MSI Claw - A1M 14TH GEN ARC Graphics Handheld Console,"155,000 LKR",Out of Stock,https://www.nanotek.lk/product/msi-claw-a1m-14th-gen-arc-graphics-handheld-console
Nanotek,Graphic Tablet,Huion Inspiroy 2 M H951P Graphics Tablet,"32,500 LKR",Out of stock,https://www.nanotek.lk/product/huion-inspiroy-2-m-h951p-graphics-tablet
Nanotek,Graphic Tablet,Huion HS611 Pen & Drawing Tablet,"29,500 LKR",In Stock,https://www.nanotek.lk/product/huion-hs611-pen-drawing-tablet
Nanotek,Graphic Tablet,Huion HS64 Pen Tablet,"16,500 LKR",In Stock,https://www.nanotek.lk/product/huion-hs64-pen-tablet
Nanotek,Laptop,ASUS ROG ZEPHYRUS DUO 16 GX651AX Ultra 9 RTX 5090,"2,399,000 LKR",In Stock,https://www.nanotek.lk/product/asus-rog-zephyrus-duo-16-gx651ax-ultra-9-rtx-5090
Nanotek,Laptop,ASUS ROG SCAR 18 (2026) G835LXG Ultra 9 RTX 5090,"2,149,000 LKR",In stock,https://www.nanotek.lk/product/asus-rog-scar-18-2026-g835lxg-ultra-9-rtx-5090
Nanotek,Laptop,Asus Expertbook Ultra B9406CAA Ultra X7 358H,"1,099,000 LKR",In Stock,https://www.nanotek.lk/product/asus-expertbook-ultra-b9406caa-ultra-x7-358h
Nanotek,Laptop,MSI Vector 16 HX AI A2XWHG Ultra 7 RTX 5070Ti,"889,000 LKR",In stock,https://www.nanotek.lk/product/msi-vector-16-hx-ai-a2xwhg-ultra-7-rtx-5070ti
Nanotek,Laptop,MSI Katana A15 AI B8VE Ryzen 7 RTX 4050,"495,000 LKR",In Stock,https://www.nanotek.lk/product/msi-katana-a15-ai-b8ve-ryzen-7-rtx-4050
Nanotek,Laptop,ASUS VIVOBOOK 15 X1504VA CORE 7 14TH GEN,"259,000 LKR",In Stock,https://www.nanotek.lk/product/asus-vivobook-15-x1504va-core-7-14th-gen
Nanotek,Laptop,Lenovo LOQ 15IRX9 i5 13th GEN HX + RTX 3050 6GB,"339,000 LKR",Out of Stock,https://www.nanotek.lk/product/lenovo-loq-15irx9-i5-13th-gen-hx-rtx-3050-6gb
Nanotek,Laptop,ASUS ROG G16 G615JHR Intel Core i7 14TH RTX 5050 8GB,"629,000 LKR",In Stock,https://www.nanotek.lk/product/asus-rog-g16-g615jhr-intel-core-i7-14th-rtx-5050-8gb
Nanotek,Laptop,ASUS TUF F16 FX608JHI I7 14650HX RTX 5050,"579,000 LKR",In Stock,https://www.nanotek.lk/product/asus-tuf-f16-fx608jhi-i7-14650hx-rtx-5050
Nanotek,Laptop,Asus Vivobook GO 15 E1504FA AMD Ryzen 5 16GB,"249,000 LKR",In stock,https://www.nanotek.lk/product/asus-vivobook-go-15-e1504fa-amd-ryzen-5-16gb
Nanotek,Laptop,Acer Aspire Go 14 AG14-171M Intel Core Ultra 9,"449,000 LKR",In Stock,https://www.nanotek.lk/product/acer-aspire-go-14-ag14-171m-intel-core-ultra-9
Nanotek,Laptop,ASUS VIVOBOOK 14 FLIP TP3407SA Ultra 7 16GB 1TB,"425,000 LKR",In Stock,https://www.nanotek.lk/product/asus-vivobook-14-flip-tp3407sa-ultra-7-16gb-1tb-1
Nanotek,Power Banks Laptop Bags Accessories,FANTECH NC30 RGB LAPTOP COOLING PAD,"8,500 LKR",In Stock,https://www.nanotek.lk/product/fantech-nc30-rgb-laptop-cooling-pad
Nanotek,Power Banks Laptop Bags Accessories,UGREEN 13 Inches Laptop Sleeve - LP187 - 60985,"4,000 LKR",In stock,https://www.nanotek.lk/product/ugreen-13-inches-laptop-sleeve-lp187-60985
Nanotek,Power Banks Laptop Bags Accessories,"UGREEN LAPTOP SLEEVE 14"" WITH STAND -LP407 - 20432","4,500 LKR",In Stock,https://www.nanotek.lk/product/ugreen-laptop-sleeve-14-with-stand-lp407-20432
Nanotek,Power Banks Laptop Bags Accessories,UGREEN 10000MAH 30W QI2 MAGNETIC WIRELESS PB - PB761 – 45763,"14,000 LKR",In Stock,https://www.nanotek.lk/product/ugreen-10000mah-30w-qi2-magnetic-wireless-pb-pb761-45763
Nanotek,Power Banks Laptop Bags Accessories,UGREEN 25000MAH 200W NEXODE PRO PB – PB728 – 75702B,"28,000 LKR",In Stock,https://www.nanotek.lk/product/ugreen-25000mah-200w-nexode-pro-pb-pb728-75702b
Nanotek,Power Banks Laptop Bags Accessories,UGREEN 20000MAH 165W NEXODE SMART DISPLAY PB WITH RETRACTABLE CABLE (CCC VERSION)- PB726 – 95670B,"24,000 LKR",In Stock,https://www.nanotek.lk/product/ugreen-20000mah-165w-nexode-smart-display-pb-with-retractable-cable-ccc-version-pb726-95670b
Nanotek,Power Banks Laptop Bags Accessories,UGREEN 10000MAH 20W ZAPIX SERIES TWO-WAY FAST CHARGING PB- PB507 - 75131B,"7,000 LKR",In Stock,https://www.nanotek.lk/product/ugreen-10000mah-20w-zapix-series-two-way-fast-charging-pb-pb507-75131b
Nanotek,Power Banks Laptop Bags Accessories,ANKER 100W 3 PORTS SD WITH C-C CABLE - B121BKZ1,"16,000 LKR",Out of Stock,https://www.nanotek.lk/product/anker-100w-3-ports-sd-with-c-c-cable-b121bkz1
