Source_Store,Category,Title,Price,Stock,URL
Redline Technologies,Monitor,"Samsung 49"" Odyssey QHD 240Hz OLED G9 Curved Gaming Monitor",N/A,In Stock,https://www.redlinetech.lk/product/samsung-49-odyssey-qhd-240hz-oled-g9-curved-gaming-monitor
Redline Technologies,Laptop,HP VICTUS 15-FA2013DX Core i5 RTX 3050 6GB,N/A,In Stock,https://www.redlinetech.lk/product/hp-victus-15-fa2013dx-core-i5-rtx-3050-6gb-1
