Source_Store,Category,Title,Price,Stock,URL
Techzone,CPU,AMD Ryzen 5 8500G WITHOUT BOX (Pc Biuld Only),"රු62,000",In Stock,https://techzone.lk/product/amd-ryzen-5-8500g-without-box-pc-biuld-only/
Techzone,CPU,AMD Ryzen 7 5700X  (Pc Biuld Only),"රු64,000",In Stock,https://techzone.lk/product/amd-ryzen-7-5700x-pc-biuld-only/
Techzone,CPU,AMD Ryzen 7 7600X,"රු69,500",In Stock,https://techzone.lk/product/amd-ryzen-7-7600x/
Techzone,CPU,AMD Ryzen 7 7700X WITHOUT BOX (Pc Biuld Only),"රු80,000",In Stock,https://techzone.lk/product/amd-ryzen-7-7700x-without-box/
Techzone,CPU,AMD Ryzen™ 9 5900X,"රු144,000",In Stock,https://techzone.lk/product/amd-ryzen-9-5900x/
Techzone,CPU,Intel Core i7-12700 Processor WITHOUT BOX/FAN (Pc Biuld Only),"රු113,000",In Stock,https://techzone.lk/product/intel-core-i7-12700-processor-without-box-fan/
Techzone,CPU,Intel Core i7-13700 Processor WITHOUT BOX/FAN (Pc Biuld Only),"රු115,000",In Stock,https://techzone.lk/product/intel-core-i7-13700-processor-without-box-fan-pc-biuld-only/
Techzone,CPU,Intel Core i7-14700 Processor WITHOUT BOX/FAN (Pc Biuld Only),"රු128,000",In Stock,https://techzone.lk/product/intel-core-i7-14700-processor-without-box-fan/
Techzone,CPU,Intel® Core™ i3-12100 Processor WITHOUT BOX/FAN (Pc Biuld Only),"රු48,500",In Stock,https://techzone.lk/product/intel-core-i3-12100-processor-without-box-fan-pc-biuld-only/
Techzone,CPU,Intel® Core™ i3-14100 Processor (Pc Biuld Only),"රු54,000",In Stock,https://techzone.lk/product/intel-core-i3-14100-processor/
Techzone,CPU,Intel® Core™ i3-14100 Processor WITHOUT BOX/FAN (Pc Biuld Only),"රු51,500",In Stock,https://techzone.lk/product/intel-core-i3-14100-processor-without-box-fan/
Techzone,CPU,Intel® Core™ i5-12400 Processor WITHOUT BOX/FAN (Pc Biuld Only),"රු59,000",In Stock,https://techzone.lk/product/intel-core-i5-12400-processor-without-box-fan-copy/
Techzone,CPU,Intel® Core™ i5-14400 Processor WITHOUT BOX/FAN (Pc Biuld Only),"රු60,000",In Stock,https://techzone.lk/product/intel-core-i5-14400-processor-without-box-fan/
Techzone,CPU,Intel® Core™ i7-14700 Processor (Pc Biuld Only),"රු130,000",In Stock,https://techzone.lk/product/intel-core-i7-14700-processor/
Techzone,CPU,Intel® Core™ ULTRA 5 225 Processor (Pc Biuld Only),"රු64,500",In Stock,https://techzone.lk/product/intel-core-ultra-5-225-processor/
Techzone,CPU,AMD Ryzen 5 5500 (Pc Biuld Only),"රු34,500",Out of Stock,https://techzone.lk/product/amd-ryzen-5-5500/
Techzone,CPU,AMD Ryzen™ 5 5600G With Radeon™ Graphics,"රු46,500",Out of Stock,https://techzone.lk/product/amd-ryzen-5-5600g-with-radeon-graphics/
Techzone,CPU,AMD Ryzen™ 5 5600G WITHOUT BOX/FAN,"රු39,000",Out of Stock,https://techzone.lk/product/amd-ryzen-5-5600g-tray/
Techzone,CPU,AMD Ryzen™ 5 5600X,"රු55,000",Out of Stock,https://techzone.lk/product/amd-ryzen-5-5600x/
Techzone,CPU,AMD Ryzen™ 7 5700G With Radeon™ Graphics (Pc Biuld Only),"රු64,000",Out of Stock,https://techzone.lk/product/amd-ryzen-7-5700g-with-radeon-graphics/
Techzone,Motherboard,ASUS  PRIME H610M-K D4 Motherboard,"රු38,000",In Stock,https://techzone.lk/product/asus-prime-h610m-e-d4-motherboard/
Techzone,Motherboard,ASUS  PRIME Z790-P D5 WIFI Motherboard,"රු95,500",In Stock,https://techzone.lk/product/asus-prime-z790-p-d5-wifi-motherboard/
Techzone,Motherboard,ASUS PRIME B760M A WIFI D5 Motherboard,"රු60,500",In Stock,https://techzone.lk/product/asus-prime-b760m-a-wifi-d5-motherboard/
Techzone,Motherboard,ASUS PRIME B760M-K D4 Motherboard,"රු48,500",In Stock,https://techzone.lk/product/asus-prime-b760m-k-d4-motherboard/
Techzone,Motherboard,ASUS PRIME B760M-K D5 Motherboard,"රු50,000",In Stock,https://techzone.lk/product/asus-prime-b760m-k-d5-motherboard/
Techzone,Motherboard,MSI A520M-A PRO  Motherboard,"රු26,500",In Stock,https://techzone.lk/product/msi-a520m-pro-motherboard/
Techzone,Motherboard,MSI A620M-E PRO Motherboard,"රු35,900",In Stock,https://techzone.lk/product/msi-pro-a620m-e-proseries-motherboard/
Techzone,Motherboard,MSI B550M PRO-VDH (Wi-Fi) Motherboard,"රු51,000",In Stock,https://techzone.lk/product/msi-b550m-pro-vdh-wi-fi-motherboard/
Techzone,Motherboard,MSI B650M BOMBER Wi-Fi DDR5 Motherboard,"රු56,500",In Stock,https://techzone.lk/product/msi-b650m-bomber-wi-fi-ddr5-motherboard/
Techzone,Motherboard,MSI B650M-P DDR5 Motherboard,"රු49,500",In Stock,https://techzone.lk/product/msi-b650m-p-ddr5-motherboard/
Techzone,Motherboard,MSI B760 GAMING PLUS WIFI DDR5 Motherboard,"රු73,500",In Stock,https://techzone.lk/product/msi-b760-gaming-plus-wifi-ddr5-motherboard/
Techzone,Motherboard,MSI B760M – A WIFI PRO DDR4 Motherboard,"රු68,000",In Stock,https://techzone.lk/product/msi-b760m-a-wifi-pro-ddr4-motherboard/
Techzone,Motherboard,MSI B760M-E PRO DDR4 Motherboard,"රු40,000",In Stock,https://techzone.lk/product/msi-b760m-e-pro-ddr4-motherboard/
Techzone,Motherboard,MSI B760M-E PRO DDR5 Motherboard,"රු41,500",In Stock,https://techzone.lk/product/msi-b760m-e-pro-ddr5-motherboard/
Techzone,Motherboard,MSI B760M-P PRO DDR5 Motherboard,"රු49,500",In Stock,https://techzone.lk/product/msi-b760m-p-pro-ddr5-motherboard/
Techzone,Motherboard,MSI B840 GAMING PLUS Wi-Fi DDR5 Motherboard,"රු74,500",In Stock,https://techzone.lk/product/msi-b840-gaming-plus-wi-fi-ddr5-motherboard/
Techzone,Motherboard,MSI B860 GAMING PLUS WIFI DDR5 Motherboard,"රු95,000",In Stock,https://techzone.lk/product/msi-b860-gaming-plus-wifi-ddr5-motherboard/
